Road_Type,Weather,Visibility_km,Road_Surface,Light_Condition,Vehicle_Speed,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Experience,Alcohol_Consumption,Seat_Belt,Time_of_Day,Day_of_Week,Area_Type,Road_Curvature,Junction_Type,Traffic_Signal,Pedestrian_Crossing,Rain,Fog,Temperature_C,Accident_Occurred
Urban Road,Clear,1.6,Icy,Dusk/Dawn,104.8,Medium,Truck,27,26,No,Yes,Evening,Friday,Rural,Straight,No Junction,Yes,Yes,No,No,-4.1,1
Rural Road,Rainy,2.4,Dry,Daylight,93.8,Low,Bus,59,5,No,Yes,Morning,Thursday,Rural,Slight Curve,Crossroad,No,Yes,No,No,13.9,0
Highway,Rainy,5.7,Icy,Dark - Lit,22.5,Medium,Car,43,38,No,Yes,Afternoon,Thursday,Rural,Slight Curve,T-Junction,No,No,Yes,No,4.8,0
Urban Road,Clear,7.7,Dry,Daylight,30.1,Medium,Car,59,31,No,No,Morning,Monday,Urban,Straight,T-Junction,Yes,No,No,No,7.0,0
Rural Road,Clear,6.3,Wet,Dusk/Dawn,41.9,High,Bus,42,27,Yes,No,Morning,Friday,Rural,Straight,Roundabout,No,No,No,Yes,-4.2,1
Rural Road,Clear,2.5,Muddy,Dusk/Dawn,27.7,Low,Truck,19,0,No,Yes,Evening,Friday,Rural,Straight,Roundabout,Yes,No,No,No,32.7,0
Highway,Rainy,0.2,Dry,Dark - Lit,76.1,Medium,Truck,43,30,No,No,Evening,Sunday,Urban,Sharp Curve,No Junction,Yes,No,Yes,No,-6.6,1
Highway,Windy,7.6,Wet,Dark - Unlit,67.2,Low,Truck,37,29,No,Yes,Afternoon,Tuesday,Rural,Straight,No Junction,No,No,No,Yes,28.6,0
Highway,Clear,9.9,Wet,Dark - Lit,109.2,Medium,Bus,20,17,No,Yes,Morning,Tuesday,Rural,Straight,Roundabout,Yes,No,No,No,24.8,1
Urban Road,Windy,8.1,Wet,Dusk/Dawn,95.0,Low,Bus,49,28,No,Yes,Morning,Thursday,Urban,Slight Curve,Roundabout,No,No,No,No,-7.5,0
Highway,Foggy,4.7,Dry,Dark - Unlit,103.4,Medium,Truck,18,37,No,Yes,Evening,Saturday,Urban,Straight,Crossroad,No,Yes,No,No,35.6,1
Rural Road,Snowy,9.1,Wet,Dark - Lit,86.1,Medium,Bus,41,22,Yes,Yes,Afternoon,Thursday,Rural,Slight Curve,T-Junction,No,Yes,Yes,No,21.6,1
Rural Road,Rainy,4.2,Wet,Dark - Lit,58.9,High,Motorcycle,67,21,Yes,Yes,Morning,Wednesday,Urban,Straight,Crossroad,No,No,No,Yes,29.6,1
Highway,Snowy,5.3,Icy,Dark - Unlit,153.4,High,Car,60,1,No,Yes,Afternoon,Thursday,Rural,Slight Curve,T-Junction,Yes,No,Yes,No,22.2,1
Highway,Clear,4.9,Wet,Dark - Lit,32.1,Low,Bus,73,4,Yes,Yes,Afternoon,Sunday,Urban,Straight,No Junction,Yes,No,No,No,3.4,0
Residential,Snowy,4.6,Dry,Dark - Unlit,151.4,Low,Motorcycle,61,14,No,Yes,Afternoon,Tuesday,Urban,Straight,No Junction,No,No,No,No,6.7,1
Rural Road,Clear,7.8,Muddy,Daylight,63.6,Low,Bus,50,31,No,Yes,Evening,Sunday,Rural,Sharp Curve,T-Junction,No,Yes,No,No,44.9,0
Urban Road,Windy,5.4,Dry,Dark - Unlit,91.8,Low,Motorcycle,55,5,No,Yes,Night,Monday,Rural,Straight,No Junction,No,No,No,No,34.4,0
Residential,Windy,3.3,Dry,Dark - Lit,35.2,High,Truck,65,13,No,No,Evening,Wednesday,Urban,Slight Curve,T-Junction,Yes,No,No,No,36.1,0
Highway,Clear,2.7,Dry,Daylight,29.9,Low,Car,69,23,No,Yes,Morning,Thursday,Rural,Straight,Roundabout,Yes,No,No,No,4.2,0
Highway,Clear,0.6,Dry,Dusk/Dawn,80.1,Medium,Bus,52,20,No,No,Afternoon,Tuesday,Rural,Sharp Curve,Roundabout,Yes,Yes,Yes,No,33.0,0
Rural Road,Foggy,5.9,Dry,Dusk/Dawn,123.8,Medium,Motorcycle,34,13,No,No,Afternoon,Saturday,Urban,Straight,No Junction,No,No,No,No,8.9,0
Highway,Clear,2.5,Dry,Dusk/Dawn,57.7,Medium,Motorcycle,65,11,No,No,Afternoon,Wednesday,Urban,Slight Curve,No Junction,No,No,No,No,8.1,0
Urban Road,Windy,1.7,Dry,Dark - Lit,98.7,High,Truck,60,3,No,Yes,Morning,Monday,Rural,Straight,Crossroad,No,Yes,No,No,7.3,0
Rural Road,Clear,6.6,Wet,Daylight,59.0,Low,Car,65,20,No,Yes,Morning,Monday,Urban,Straight,No Junction,No,No,Yes,No,-4.0,0
Highway,Clear,6.9,Dry,Dark - Unlit,74.4,Medium,Car,61,16,Yes,Yes,Afternoon,Saturday,Urban,Slight Curve,T-Junction,Yes,Yes,No,No,-4.3,0
Rural Road,Windy,7.6,Dry,Dusk/Dawn,146.9,Medium,Car,50,28,Yes,Yes,Afternoon,Tuesday,Rural,Slight Curve,T-Junction,No,Yes,No,No,28.1,1
Highway,Foggy,5.1,Dry,Dusk/Dawn,139.8,High,Motorcycle,28,15,No,Yes,Afternoon,Sunday,Rural,Straight,T-Junction,No,Yes,No,No,17.9,1
Highway,Snowy,9.0,Dry,Daylight,92.2,High,Bus,40,17,Yes,Yes,Morning,Friday,Rural,Slight Curve,Crossroad,Yes,Yes,No,Yes,34.6,1
Highway,Clear,9.4,Dry,Daylight,53.3,High,Bus,55,37,No,No,Afternoon,Sunday,Rural,Slight Curve,Roundabout,No,No,No,No,33.1,0
Urban Road,Foggy,8.1,Wet,Daylight,47.0,Medium,Truck,49,10,No,Yes,Afternoon,Saturday,Urban,Straight,T-Junction,No,No,Yes,No,8.9,0
Urban Road,Rainy,6.4,Muddy,Dark - Lit,153.6,High,Car,36,31,No,Yes,Evening,Sunday,Rural,Sharp Curve,Crossroad,Yes,Yes,No,No,-2.6,1
Rural Road,Rainy,3.2,Icy,Daylight,48.4,Medium,Bus,29,27,No,Yes,Afternoon,Tuesday,Urban,Sharp Curve,Crossroad,No,Yes,No,No,5.3,0
Highway,Foggy,9.8,Icy,Dark - Unlit,133.1,Low,Motorcycle,45,15,No,Yes,Evening,Tuesday,Rural,Slight Curve,No Junction,Yes,Yes,No,No,20.0,1
Highway,Rainy,2.9,Dry,Dark - Unlit,71.7,Medium,Motorcycle,19,33,No,Yes,Afternoon,Sunday,Urban,Straight,No Junction,Yes,No,No,No,34.1,1
Urban Road,Clear,2.2,Dry,Dusk/Dawn,158.0,Low,Car,27,29,No,Yes,Evening,Sunday,Urban,Sharp Curve,Roundabout,Yes,Yes,No,No,14.5,1
Highway,Clear,4.5,Dry,Dark - Unlit,71.5,Medium,Truck,36,37,No,Yes,Evening,Tuesday,Rural,Slight Curve,Crossroad,No,No,Yes,No,22.7,0
Urban Road,Foggy,0.8,Wet,Daylight,69.2,Low,Truck,45,21,No,Yes,Morning,Friday,Urban,Straight,T-Junction,Yes,No,No,No,20.4,1
Highway,Clear,9.8,Dry,Dark - Unlit,109.2,Medium,Car,64,4,No,Yes,Afternoon,Thursday,Urban,Sharp Curve,Crossroad,Yes,No,Yes,No,1.8,1
Rural Road,Foggy,6.0,Wet,Dusk/Dawn,154.6,Medium,Motorcycle,25,8,No,Yes,Afternoon,Thursday,Rural,Straight,No Junction,No,Yes,No,No,14.2,1
Highway,Clear,5.7,Dry,Dark - Lit,156.7,Medium,Truck,60,12,No,Yes,Afternoon,Monday,Rural,Straight,Crossroad,Yes,Yes,No,No,26.5,1
Highway,Rainy,6.6,Dry,Dark - Unlit,119.0,Medium,Motorcycle,40,38,Yes,Yes,Evening,Thursday,Rural,Sharp Curve,T-Junction,No,No,No,No,-7.2,1
Residential,Foggy,5.1,Muddy,Dusk/Dawn,125.6,High,Motorcycle,65,22,No,Yes,Morning,Tuesday,Urban,Straight,Crossroad,No,Yes,No,No,23.1,1
Urban Road,Clear,0.5,Wet,Dusk/Dawn,98.9,Medium,Bus,62,26,No,Yes,Night,Sunday,Urban,Straight,Roundabout,No,No,No,No,39.5,1
Highway,Clear,6.2,Icy,Daylight,125.8,Medium,Truck,47,31,No,No,Evening,Saturday,Urban,Slight Curve,Roundabout,No,Yes,Yes,No,40.3,1
Highway,Clear,7.2,Wet,Dusk/Dawn,140.4,High,Motorcycle,45,30,Yes,Yes,Night,Thursday,Urban,Straight,Roundabout,No,Yes,No,No,36.8,1
Residential,Rainy,4.3,Icy,Dark - Unlit,88.1,High,Bus,30,32,No,Yes,Evening,Friday,Urban,Sharp Curve,No Junction,No,No,No,No,2.1,1
Residential,Snowy,7.6,Wet,Dusk/Dawn,106.8,High,Motorcycle,72,25,No,No,Evening,Saturday,Urban,Straight,Roundabout,Yes,No,No,No,37.2,1
Urban Road,Clear,2.4,Muddy,Dusk/Dawn,95.2,High,Car,54,17,No,Yes,Afternoon,Thursday,Rural,Straight,Crossroad,Yes,Yes,No,No,-3.9,1
Residential,Foggy,2.4,Dry,Daylight,98.7,High,Truck,29,11,No,Yes,Evening,Tuesday,Rural,Sharp Curve,T-Junction,No,Yes,Yes,No,7.8,1
Rural Road,Clear,1.8,Wet,Daylight,144.6,High,Motorcycle,27,2,No,No,Evening,Thursday,Urban,Straight,Roundabout,No,No,Yes,No,11.8,1
Residential,Rainy,3.8,Wet,Dark - Unlit,69.8,High,Truck,68,4,No,Yes,Morning,Saturday,Rural,Slight Curve,T-Junction,Yes,No,No,No,1.3,0
Rural Road,Windy,8.5,Dry,Dusk/Dawn,49.1,High,Bus,34,13,No,Yes,Afternoon,Monday,Rural,Sharp Curve,No Junction,No,No,No,No,38.1,0
Urban Road,Clear,8.3,Icy,Dark - Lit,83.9,High,Truck,18,11,No,Yes,Morning,Thursday,Rural,Straight,No Junction,Yes,No,No,No,30.5,0
Urban Road,Rainy,4.0,Muddy,Dusk/Dawn,49.1,High,Motorcycle,39,3,No,Yes,Night,Monday,Urban,Straight,No Junction,No,Yes,No,No,29.3,0
Urban Road,Clear,6.0,Dry,Dark - Lit,89.8,High,Truck,32,15,No,Yes,Afternoon,Sunday,Urban,Straight,No Junction,Yes,Yes,No,No,41.0,0
Urban Road,Clear,7.3,Dry,Dark - Unlit,146.5,Low,Car,33,10,No,Yes,Morning,Wednesday,Urban,Straight,Roundabout,Yes,No,No,No,31.9,0
Urban Road,Clear,2.6,Dry,Daylight,106.4,Medium,Car,37,35,No,Yes,Afternoon,Friday,Rural,Straight,Crossroad,No,No,No,No,13.5,0
Rural Road,Clear,1.8,Icy,Dark - Unlit,139.8,Medium,Bus,72,37,No,Yes,Afternoon,Monday,Rural,Straight,No Junction,No,Yes,Yes,No,-2.7,1
Rural Road,Rainy,9.7,Wet,Daylight,43.3,High,Motorcycle,27,1,Yes,Yes,Night,Saturday,Urban,Slight Curve,T-Junction,No,No,Yes,No,35.5,1
Urban Road,Clear,6.3,Dry,Daylight,146.1,High,Truck,59,12,No,Yes,Evening,Wednesday,Rural,Straight,No Junction,Yes,Yes,No,No,29.2,0
Residential,Rainy,9.8,Dry,Dusk/Dawn,104.3,Low,Bus,43,7,No,Yes,Night,Wednesday,Urban,Straight,Roundabout,No,Yes,No,No,23.3,0
Highway,Clear,3.5,Dry,Dusk/Dawn,24.4,High,Bus,66,20,No,Yes,Morning,Tuesday,Urban,Straight,Crossroad,No,No,No,No,31.0,0
Urban Road,Clear,7.1,Wet,Daylight,108.6,Low,Motorcycle,71,25,No,Yes,Afternoon,Wednesday,Rural,Straight,Crossroad,No,Yes,Yes,No,31.5,0
Residential,Foggy,2.4,Dry,Dark - Lit,153.2,Medium,Truck,40,37,No,Yes,Evening,Friday,Rural,Sharp Curve,Roundabout,Yes,No,Yes,No,30.8,1
Highway,Windy,2.8,Dry,Dark - Lit,31.1,Medium,Bus,34,34,No,Yes,Morning,Friday,Rural,Slight Curve,Crossroad,Yes,No,No,No,15.0,0
Urban Road,Clear,5.2,Wet,Dusk/Dawn,101.5,High,Bus,51,14,Yes,Yes,Night,Friday,Urban,Slight Curve,Roundabout,No,No,No,No,19.4,1
Urban Road,Windy,3.3,Dry,Dark - Unlit,148.2,Low,Motorcycle,58,39,No,Yes,Afternoon,Friday,Rural,Straight,Roundabout,No,Yes,Yes,No,34.2,1
Rural Road,Rainy,1.8,Dry,Dark - Lit,21.4,Low,Motorcycle,74,29,No,Yes,Night,Tuesday,Rural,Slight Curve,Crossroad,Yes,No,Yes,No,41.1,1
Highway,Rainy,2.8,Dry,Daylight,108.3,Medium,Bus,39,1,No,Yes,Afternoon,Thursday,Rural,Straight,Roundabout,Yes,Yes,Yes,No,18.4,1
Highway,Rainy,0.6,Dry,Dusk/Dawn,86.5,Medium,Truck,21,15,No,Yes,Afternoon,Sunday,Rural,Straight,T-Junction,No,No,Yes,No,28.1,0
Residential,Clear,7.1,Dry,Dusk/Dawn,68.6,Low,Bus,24,12,No,No,Evening,Saturday,Urban,Straight,Roundabout,Yes,Yes,No,No,17.9,0
Rural Road,Clear,5.0,Muddy,Daylight,107.9,Low,Car,22,0,No,No,Night,Saturday,Rural,Straight,No Junction,No,No,No,No,12.9,1
Rural Road,Rainy,1.1,Icy,Dark - Unlit,27.4,Medium,Motorcycle,48,27,No,Yes,Morning,Monday,Urban,Straight,No Junction,Yes,Yes,Yes,No,32.9,0
Rural Road,Clear,1.9,Icy,Daylight,125.4,Low,Car,36,0,No,Yes,Afternoon,Tuesday,Urban,Straight,No Junction,Yes,Yes,No,Yes,-1.9,1
Rural Road,Windy,1.2,Muddy,Dark - Unlit,20.6,Medium,Truck,21,39,No,No,Afternoon,Saturday,Rural,Straight,No Junction,Yes,No,Yes,No,14.5,0
Highway,Clear,6.2,Dry,Dusk/Dawn,63.0,Low,Motorcycle,67,33,No,Yes,Morning,Tuesday,Rural,Slight Curve,Roundabout,Yes,No,No,Yes,22.4,0
Highway,Clear,1.1,Dry,Dark - Unlit,90.6,High,Truck,39,12,No,Yes,Morning,Monday,Urban,Straight,Roundabout,No,No,No,No,28.9,0
Urban Road,Foggy,7.6,Dry,Daylight,72.8,Medium,Car,20,1,No,Yes,Morning,Saturday,Urban,Sharp Curve,Roundabout,Yes,No,No,Yes,38.6,0
Urban Road,Clear,0.4,Icy,Dusk/Dawn,63.0,Low,Truck,40,3,No,No,Morning,Monday,Rural,Slight Curve,No Junction,Yes,No,No,Yes,-1.1,1
Rural Road,Rainy,2.6,Wet,Dark - Lit,136.3,Medium,Motorcycle,21,24,No,No,Night,Thursday,Rural,Straight,No Junction,No,No,No,No,12.8,1
Rural Road,Foggy,8.9,Dry,Dusk/Dawn,150.9,Low,Car,63,33,No,No,Afternoon,Thursday,Urban,Slight Curve,No Junction,No,No,No,No,2.5,1
Rural Road,Windy,7.2,Dry,Daylight,142.3,High,Motorcycle,41,12,No,Yes,Evening,Friday,Rural,Straight,Crossroad,Yes,Yes,No,No,20.2,0
Urban Road,Snowy,0.9,Dry,Daylight,93.1,High,Car,31,35,No,Yes,Morning,Sunday,Urban,Straight,Crossroad,No,Yes,No,No,1.2,0
Residential,Foggy,8.2,Dry,Dusk/Dawn,143.8,High,Bus,66,31,Yes,Yes,Evening,Saturday,Rural,Straight,T-Junction,Yes,No,No,No,3.2,1
Residential,Foggy,5.0,Icy,Dusk/Dawn,148.9,Medium,Truck,58,20,No,No,Evening,Thursday,Rural,Straight,Roundabout,Yes,Yes,No,No,-3.3,1
Urban Road,Windy,8.5,Dry,Dusk/Dawn,77.3,High,Truck,68,25,No,Yes,Evening,Thursday,Urban,Straight,Crossroad,Yes,No,Yes,No,21.1,0
Urban Road,Clear,6.1,Muddy,Dark - Unlit,59.7,Medium,Motorcycle,20,14,No,No,Night,Monday,Urban,Straight,Roundabout,Yes,No,No,No,34.1,0
Urban Road,Clear,6.9,Dry,Dark - Lit,33.8,High,Bus,64,28,No,Yes,Morning,Sunday,Urban,Sharp Curve,Roundabout,Yes,No,No,No,-3.1,0
Urban Road,Clear,9.9,Wet,Dark - Unlit,87.1,Medium,Motorcycle,38,25,No,Yes,Evening,Sunday,Urban,Slight Curve,T-Junction,No,Yes,No,No,33.6,0
Urban Road,Clear,2.5,Muddy,Daylight,152.5,High,Motorcycle,43,20,No,Yes,Evening,Wednesday,Urban,Sharp Curve,No Junction,Yes,No,Yes,No,43.1,1
Urban Road,Foggy,6.3,Muddy,Dusk/Dawn,98.5,Low,Car,18,11,No,Yes,Afternoon,Friday,Urban,Slight Curve,Roundabout,No,Yes,No,No,16.3,1
Rural Road,Rainy,4.7,Dry,Dark - Unlit,113.5,Low,Bus,47,11,Yes,Yes,Morning,Friday,Rural,Sharp Curve,No Junction,Yes,No,No,No,19.4,1
Rural Road,Rainy,0.6,Dry,Dark - Unlit,35.8,Medium,Car,68,4,Yes,Yes,Night,Tuesday,Rural,Straight,Roundabout,No,Yes,No,Yes,31.9,1
Rural Road,Clear,0.3,Dry,Daylight,40.1,High,Motorcycle,21,25,No,No,Morning,Thursday,Rural,Slight Curve,Crossroad,No,Yes,No,No,31.3,0
Rural Road,Foggy,1.4,Dry,Dark - Unlit,85.0,High,Car,31,31,No,No,Morning,Thursday,Rural,Straight,Crossroad,No,No,Yes,Yes,-4.1,1
Urban Road,Clear,6.6,Wet,Daylight,153.2,Low,Car,35,1,No,Yes,Morning,Monday,Urban,Straight,No Junction,Yes,No,No,No,35.6,0
Residential,Foggy,5.8,Muddy,Dark - Unlit,70.5,High,Truck,29,7,No,Yes,Morning,Thursday,Urban,Sharp Curve,No Junction,No,Yes,Yes,Yes,-4.0,1
Highway,Rainy,5.6,Dry,Dark - Lit,142.8,High,Bus,55,26,No,Yes,Afternoon,Tuesday,Urban,Straight,Crossroad,Yes,No,No,No,21.1,1
Urban Road,Clear,0.5,Dry,Daylight,36.8,Medium,Truck,59,36,No,Yes,Evening,Monday,Urban,Straight,No Junction,No,Yes,No,Yes,17.6,0
Highway,Clear,4.8,Dry,Dark - Lit,106.4,Low,Bus,53,7,No,Yes,Afternoon,Sunday,Rural,Straight,Crossroad,Yes,No,No,Yes,35.5,1
Residential,Clear,9.3,Icy,Dark - Unlit,104.1,High,Truck,33,23,No,No,Night,Friday,Rural,Straight,No Junction,No,No,No,No,-2.5,1
Rural Road,Snowy,4.1,Muddy,Dark - Lit,140.4,High,Motorcycle,18,12,No,Yes,Evening,Thursday,Rural,Straight,Roundabout,Yes,No,Yes,No,25.5,1
Residential,Windy,6.3,Dry,Dark - Lit,20.5,Medium,Truck,20,28,Yes,Yes,Morning,Thursday,Rural,Straight,Crossroad,Yes,No,No,No,39.2,0
Urban Road,Rainy,7.8,Dry,Dark - Lit,46.6,Medium,Bus,56,12,No,Yes,Afternoon,Tuesday,Urban,Slight Curve,Roundabout,No,No,No,No,20.4,0
Rural Road,Clear,7.9,Wet,Dark - Unlit,50.8,Medium,Bus,52,22,Yes,Yes,Morning,Saturday,Rural,Slight Curve,Crossroad,Yes,Yes,No,No,37.6,1
Urban Road,Clear,5.3,Wet,Daylight,153.0,Medium,Bus,71,14,No,No,Morning,Sunday,Urban,Straight,No Junction,Yes,Yes,No,No,38.6,0
Rural Road,Foggy,8.6,Dry,Dark - Unlit,41.5,High,Truck,32,23,No,No,Night,Sunday,Rural,Slight Curve,No Junction,Yes,Yes,No,No,3.9,0
Highway,Snowy,4.0,Icy,Dark - Unlit,25.2,High,Car,55,22,No,Yes,Evening,Sunday,Rural,Straight,Roundabout,Yes,Yes,No,No,38.4,1
Highway,Clear,8.9,Muddy,Dark - Unlit,94.8,High,Truck,33,9,Yes,Yes,Night,Tuesday,Urban,Slight Curve,Roundabout,No,No,No,No,27.5,1
Highway,Clear,2.6,Wet,Daylight,94.0,Medium,Car,34,37,No,No,Night,Monday,Rural,Straight,Crossroad,Yes,No,Yes,No,37.3,0
Residential,Foggy,2.9,Wet,Dusk/Dawn,138.2,High,Truck,51,4,Yes,Yes,Evening,Friday,Urban,Sharp Curve,T-Junction,No,No,No,No,4.5,1
Urban Road,Clear,0.7,Dry,Dark - Unlit,152.8,Low,Motorcycle,27,4,No,Yes,Night,Saturday,Rural,Straight,T-Junction,No,No,Yes,No,10.8,1
Residential,Clear,8.0,Wet,Dark - Unlit,95.4,Low,Motorcycle,28,30,No,Yes,Evening,Saturday,Urban,Straight,T-Junction,Yes,No,No,No,23.2,0
Highway,Clear,4.3,Dry,Daylight,150.2,High,Truck,45,39,No,Yes,Night,Tuesday,Rural,Slight Curve,T-Junction,Yes,Yes,No,No,31.5,1
Urban Road,Rainy,2.4,Dry,Dusk/Dawn,121.5,Medium,Truck,44,0,No,Yes,Afternoon,Tuesday,Urban,Sharp Curve,No Junction,No,Yes,Yes,No,44.0,1
Highway,Windy,2.5,Dry,Dusk/Dawn,57.0,Low,Truck,55,1,No,No,Evening,Friday,Rural,Straight,Roundabout,Yes,Yes,Yes,No,-6.2,0
Residential,Windy,9.0,Dry,Dusk/Dawn,150.0,High,Motorcycle,35,28,No,Yes,Morning,Wednesday,Rural,Straight,T-Junction,Yes,No,No,No,19.8,0
Residential,Rainy,8.4,Dry,Dusk/Dawn,113.4,Low,Car,64,6,No,No,Night,Monday,Urban,Straight,T-Junction,No,Yes,No,No,20.1,0
Residential,Rainy,5.6,Dry,Daylight,78.0,Low,Bus,65,28,No,No,Night,Saturday,Rural,Straight,Roundabout,No,No,No,No,39.8,0
Highway,Clear,6.2,Wet,Daylight,115.2,Low,Car,47,8,No,Yes,Evening,Wednesday,Urban,Straight,Crossroad,No,No,No,Yes,3.0,0
Urban Road,Rainy,4.8,Wet,Dusk/Dawn,76.2,Low,Truck,30,35,Yes,Yes,Night,Friday,Rural,Straight,Crossroad,Yes,No,No,No,-1.2,1
Urban Road,Clear,4.0,Dry,Dark - Lit,36.0,High,Motorcycle,33,6,No,Yes,Night,Saturday,Urban,Straight,No Junction,Yes,Yes,No,No,16.5,0
Highway,Rainy,9.2,Dry,Daylight,120.7,Low,Bus,19,27,Yes,No,Evening,Saturday,Urban,Straight,Crossroad,Yes,No,No,No,29.9,1
Urban Road,Clear,1.4,Icy,Dark - Lit,135.4,High,Car,37,9,No,Yes,Evening,Thursday,Rural,Sharp Curve,T-Junction,Yes,No,No,No,43.5,1
Highway,Clear,4.3,Dry,Dark - Lit,122.0,Low,Truck,29,15,No,No,Night,Saturday,Rural,Slight Curve,Roundabout,Yes,No,No,No,21.4,0
Urban Road,Clear,3.6,Muddy,Dusk/Dawn,52.1,Low,Motorcycle,46,9,No,Yes,Evening,Monday,Rural,Straight,T-Junction,No,No,No,No,29.9,0
Rural Road,Clear,5.1,Dry,Dusk/Dawn,153.9,Low,Motorcycle,63,38,No,No,Night,Friday,Rural,Slight Curve,Roundabout,Yes,Yes,No,No,5.3,1
Rural Road,Clear,4.7,Wet,Dark - Unlit,23.5,High,Bus,25,25,No,No,Night,Friday,Rural,Straight,No Junction,Yes,Yes,Yes,No,27.2,0
Residential,Clear,5.3,Dry,Dark - Lit,66.6,Low,Car,55,33,No,Yes,Night,Saturday,Urban,Slight Curve,No Junction,Yes,No,No,No,3.3,0
Rural Road,Windy,1.6,Wet,Dark - Unlit,56.4,Low,Motorcycle,63,33,Yes,Yes,Morning,Monday,Rural,Slight Curve,T-Junction,No,No,Yes,No,17.3,1
Rural Road,Clear,5.2,Icy,Dusk/Dawn,26.7,Medium,Truck,73,39,No,Yes,Evening,Wednesday,Rural,Slight Curve,Crossroad,No,No,No,Yes,-7.4,0
Rural Road,Rainy,2.6,Muddy,Dark - Lit,76.8,Low,Truck,64,13,No,Yes,Morning,Thursday,Urban,Straight,Crossroad,No,No,No,No,7.8,0
Highway,Windy,2.0,Muddy,Daylight,107.2,Medium,Bus,37,17,No,Yes,Afternoon,Wednesday,Urban,Straight,No Junction,No,No,Yes,No,33.0,1
Rural Road,Windy,0.8,Dry,Dark - Unlit,143.6,High,Car,52,0,No,No,Afternoon,Tuesday,Rural,Straight,Roundabout,Yes,No,No,No,-6.3,1
Rural Road,Rainy,7.7,Wet,Dusk/Dawn,158.6,Low,Motorcycle,56,16,No,No,Night,Wednesday,Urban,Straight,Roundabout,No,No,No,No,7.5,1
Residential,Snowy,4.4,Dry,Dark - Lit,133.1,Low,Bus,48,21,No,Yes,Morning,Tuesday,Urban,Sharp Curve,No Junction,Yes,Yes,Yes,No,-0.6,1
Rural Road,Clear,6.3,Wet,Dusk/Dawn,85.6,Medium,Car,33,36,No,Yes,Night,Monday,Urban,Straight,No Junction,Yes,No,No,No,24.5,0
Rural Road,Clear,7.3,Dry,Dark - Unlit,121.3,Medium,Car,40,15,No,Yes,Night,Saturday,Rural,Slight Curve,T-Junction,No,Yes,No,Yes,30.9,1
Urban Road,Clear,6.9,Icy,Dusk/Dawn,138.1,Low,Motorcycle,51,6,No,Yes,Night,Tuesday,Rural,Straight,Crossroad,Yes,No,No,No,-4.0,1
Residential,Foggy,4.8,Muddy,Dusk/Dawn,85.1,High,Bus,49,14,No,Yes,Night,Friday,Rural,Slight Curve,Crossroad,No,No,No,No,18.8,1
Residential,Foggy,4.0,Dry,Daylight,129.9,Medium,Bus,34,20,No,No,Night,Saturday,Rural,Straight,Crossroad,Yes,No,No,No,27.5,1
Residential,Clear,3.9,Dry,Dusk/Dawn,87.6,Low,Bus,60,1,No,No,Afternoon,Saturday,Urban,Slight Curve,T-Junction,Yes,No,No,No,44.4,0
Residential,Clear,6.5,Dry,Dark - Lit,74.1,Medium,Bus,41,24,No,No,Evening,Sunday,Urban,Slight Curve,No Junction,No,No,No,No,2.0,1
Residential,Rainy,5.0,Wet,Dark - Lit,93.7,High,Car,52,8,No,Yes,Evening,Saturday,Urban,Straight,Crossroad,No,No,No,No,-6.0,1
Residential,Clear,8.5,Dry,Daylight,114.6,Medium,Bus,71,19,No,Yes,Evening,Sunday,Urban,Straight,T-Junction,No,Yes,Yes,No,4.2,0
Highway,Rainy,8.8,Muddy,Dark - Lit,121.8,Low,Bus,40,9,No,No,Afternoon,Tuesday,Rural,Sharp Curve,Roundabout,Yes,No,No,No,20.8,0
Rural Road,Foggy,1.9,Wet,Dusk/Dawn,69.9,Medium,Motorcycle,25,20,No,Yes,Morning,Friday,Rural,Straight,Crossroad,No,No,No,No,24.8,0
Residential,Foggy,1.5,Wet,Dusk/Dawn,100.0,High,Truck,71,3,No,No,Afternoon,Friday,Urban,Straight,Roundabout,Yes,No,Yes,No,10.8,0
Rural Road,Foggy,6.4,Wet,Dark - Lit,147.4,Low,Car,40,29,Yes,Yes,Afternoon,Wednesday,Urban,Slight Curve,T-Junction,No,No,Yes,No,13.9,1
Rural Road,Windy,3.2,Dry,Dark - Unlit,156.7,Low,Motorcycle,38,33,No,No,Morning,Saturday,Rural,Slight Curve,Crossroad,No,Yes,No,No,20.1,1
Highway,Rainy,0.4,Muddy,Dusk/Dawn,51.8,Low,Motorcycle,36,29,No,No,Night,Saturday,Urban,Straight,No Junction,No,Yes,Yes,No,-1.4,0
Residential,Foggy,8.9,Wet,Dark - Lit,47.0,Low,Motorcycle,48,13,No,Yes,Night,Thursday,Urban,Slight Curve,Crossroad,No,Yes,No,No,42.9,0
Urban Road,Rainy,2.4,Muddy,Dusk/Dawn,114.7,High,Car,67,21,No,Yes,Night,Saturday,Urban,Straight,T-Junction,Yes,No,Yes,No,27.0,1
Highway,Clear,9.3,Dry,Dusk/Dawn,78.1,Low,Truck,24,0,Yes,Yes,Morning,Wednesday,Urban,Straight,Roundabout,Yes,Yes,Yes,Yes,18.7,1
Urban Road,Clear,7.2,Wet,Daylight,23.4,High,Car,65,7,No,Yes,Afternoon,Sunday,Urban,Slight Curve,Crossroad,Yes,No,No,No,30.3,0
